,TIME,EVENT,JOB NAME,DURATION,OUTCOME,START TIME,END TIME
30709,2018-04-24 23:54:19,STOP,TOUHJ029,0 days 03:15:30.000000000,Successful,2018-04-24 20:38:49,2018-04-24 23:54:19
30729,2018-04-25 00:02:22,STOP,TOUHJ050,0 days 00:01:15.000000000,Successful,2018-04-25 00:01:07,2018-04-25 00:02:22
30800,2018-04-25 01:29:08,STOP,TOUHJ011,0 days 01:34:45.000000000,Successful,2018-04-24 23:54:23,2018-04-25 01:29:08
31156,2018-04-25 03:30:01,STOP,TOUHJ081,0 days 01:59:59.000000000,Successful,2018-04-25 01:30:02,2018-04-25 03:30:01
32111,2018-04-25 20:33:41,STOP,TOUHJ010,0 days 00:02:57.000000000,Successful,2018-04-25 20:30:44,2018-04-25 20:33:41
32147,2018-04-25 20:38:47,STOP,TOUHJ028,0 days 00:00:17.000000000,Successful,2018-04-25 20:38:30,2018-04-25 20:38:47
32285,2018-04-25 23:42:31,STOP,TOUHJ029,0 days 03:03:41.000000000,Successful,2018-04-25 20:38:50,2018-04-25 23:42:31
32308,2018-04-26 00:02:21,STOP,TOUHJ050,0 days 00:01:15.000000000,Successful,2018-04-26 00:01:06,2018-04-26 00:02:21
32373,2018-04-26 01:22:48,STOP,TOUHJ011,0 days 01:40:14.000000000,Successful,2018-04-25 23:42:34,2018-04-26 01:22:48
32723,2018-04-26 03:18:59,STOP,TOUHJ081,0 days 01:55:18.000000000,Successful,2018-04-26 01:23:41,2018-04-26 03:18:59
33757,2018-04-26 20:34:43,STOP,TOUHJ010,0 days 00:04:02.000000000,Successful,2018-04-26 20:30:41,2018-04-26 20:34:43
33793,2018-04-26 20:38:44,STOP,TOUHJ028,0 days 00:00:16.000000000,Successful,2018-04-26 20:38:28,2018-04-26 20:38:44
33931,2018-04-26 23:47:41,STOP,TOUHJ029,0 days 03:08:54.000000000,Successful,2018-04-26 20:38:47,2018-04-26 23:47:41
33954,2018-04-27 00:02:20,STOP,TOUHJ050,0 days 00:01:15.000000000,Successful,2018-04-27 00:01:05,2018-04-27 00:02:20
34023,2018-04-27 01:37:40,STOP,TOUHJ011,0 days 01:49:56.000000000,Successful,2018-04-26 23:47:44,2018-04-27 01:37:40
34379,2018-04-27 03:35:09,STOP,TOUHJ081,0 days 01:56:33.000000000,Successful,2018-04-27 01:38:36,2018-04-27 03:35:09
35297,2018-04-27 20:33:43,STOP,TOUHJ010,0 days 00:03:00.000000000,Successful,2018-04-27 20:30:43,2018-04-27 20:33:43
35333,2018-04-27 20:38:48,STOP,TOUHJ028,0 days 00:00:16.000000000,Successful,2018-04-27 20:38:32,2018-04-27 20:38:48
35471,2018-04-27 23:40:22,STOP,TOUHJ029,0 days 03:01:32.000000000,Successful,2018-04-27 20:38:50,2018-04-27 23:40:22
35491,2018-04-28 00:02:21,STOP,TOUHJ050,0 days 00:01:16.000000000,Successful,2018-04-28 00:01:05,2018-04-28 00:02:21
35539,2018-04-28 01:12:58,STOP,TOUHJ011,0 days 01:32:34.000000000,Successful,2018-04-27 23:40:24,2018-04-28 01:12:58
35853,2018-04-28 03:03:57,STOP,TOUHJ081,0 days 01:50:05.000000000,Successful,2018-04-28 01:13:52,2018-04-28 03:03:57
36331,2018-04-28 20:32:36,STOP,TOUHJ010,0 days 00:01:52.000000000,Successful,2018-04-28 20:30:44,2018-04-28 20:32:36
36367,2018-04-28 20:38:49,STOP,TOUHJ028,0 days 00:00:17.000000000,Successful,2018-04-28 20:38:32,2018-04-28 20:38:49
36445,2018-04-28 23:30:29,STOP,TOUHJ029,0 days 02:51:37.000000000,Successful,2018-04-28 20:38:52,2018-04-28 23:30:29
36465,2018-04-29 00:02:20,STOP,TOUHJ050,0 days 00:01:15.000000000,Successful,2018-04-29 00:01:05,2018-04-29 00:02:20
36511,2018-04-29 01:41:12,STOP,TOUHJ011,0 days 02:10:39.000000000,Successful,2018-04-28 23:30:33,2018-04-29 01:41:12
36695,2018-04-29 03:32:38,STOP,TOUHJ081,0 days 01:50:27.000000000,Successful,2018-04-29 01:42:11,2018-04-29 03:32:38
38057,2018-04-30 20:33:47,STOP,TOUHJ010,0 days 00:03:00.000000000,Successful,2018-04-30 20:30:47,2018-04-30 20:33:47
38098,2018-04-30 20:43:22,STOP,TOUHJ028,0 days 00:00:16.000000000,Successful,2018-04-30 20:43:06,2018-04-30 20:43:22
38235,2018-04-30 23:52:41,STOP,TOUHJ029,0 days 03:09:17.000000000,Successful,2018-04-30 20:43:24,2018-04-30 23:52:41
38251,2018-05-01 03:50:04,STOP,TOUHJ011,0 days 03:57:20.000000000,Successful,2018-04-30 23:52:44,2018-05-01 03:50:04
